Order_ID,Order_Date,Customer_ID,Region,City,Store,Sales_Channel,Category,Product,Quantity,Unit_Price,Discount_Percent,Discount_Amount,Sales,Cost,Profit,Payment_Method,Customer_Type,Salesperson
ORD-02071,2025-01-01,CUST-02055,West,Pune,Store F,Store,Furniture,Bed,1,30119.93,25,7529.98,22589.95,18747.65,3842.3,Credit Card,Returning,SP-030
ORD-06853,2025-01-01,CUST-00552,South,Chennai,Store E,Store,Furniture,Bookshelf,1,3288.25,15,493.24,2795.01,2361.89,433.13,Debit Card,Returning,SP-005
ORD-06031,2025-01-01,CUST-01695,East,Bhubaneswar,Store E,Store,Grocery,Cooking Oil,3,250.93,25,188.2,564.59,430.79,133.8,Net Banking,Returning,SP-019
ORD-06024,2025-01-01,CUST-00237,North,Lucknow,Store A,Store,Electronics,Headphones,5,3264.22,5,816.06,15505.04,12463.62,3041.43,Debit Card,New,SP-030
ORD-00649,2025-01-01,CUST-00141,North,Jaipur,Store F,Online,Electronics,Smartphone,1,27724.37,20,5544.87,22179.5,15787.81,6391.68,Net Banking,Returning,SP-020
ORD-00678,2025-01-01,CUST-02204,North,Chandigarh,Store D,Store,Home Appliances,Vacuum Cleaner,2,14528.08,20,5811.23,23244.93,14834.57,8410.35,Debit Card,Returning,SP-002
ORD-08083,2025-01-01,CUST-00775,East,Kolkata,Store A,Store,Electronics,Headphones,1,1749.69,10,174.97,1574.72,983.85,590.87,Cash,Returning,SP-002
ORD-09634,2025-01-01,CUST-01511,East,Bhubaneswar,Store C,Store,Electronics,Tablet,1,28481.72,15,4272.26,24209.46,16963.29,7246.17,UPI,Returning,SP-001
ORD-02011,2025-01-01,CUST-02187,South,Kochi,Store B,Store,Furniture,Bookshelf,2,5049.52,25,2524.76,7574.28,4882.45,2691.83,Debit Card,Returning,SP-017
ORD-04192,2025-01-01,CUST-00786,West,Pune,Store A,Online,Clothing,Jacket,2,2706.88,25,1353.44,4060.32,2819.14,1241.18,UPI,Returning,SP-008
ORD-00756,2025-01-01,CUST-02352,East,Ranchi,Store A,Online,Grocery,Tea,3,375.89,5,56.38,1071.29,905.25,166.04,Cash,Loyal,SP-006
ORD-01029,2025-01-01,CUST-01643,North,Lucknow,Store A,Online,Electronics,Smartwatch,1,4502.76,0,0.0,4502.76,3065.77,1436.99,Debit Card,New,SP-014
ORD-09685,2025-01-01,CUST-01853,Central,Nagpur,Store F,Store,Electronics,Headphones,2,4711.69,20,1884.68,7538.7,6630.38,908.33,UPI,New,SP-015
ORD-07394,2025-01-01,CUST-01821,North,Jaipur,Store D,Store,Furniture,Bookshelf,3,12929.41,10,3878.82,34909.41,30612.3,4297.11,Cash,New,SP-021
ORD-00992,2025-01-01,CUST-01143,West,Surat,Store E,Store,Electronics,Laptop,5,70236.93,10,35118.46,316066.18,210312.33,105753.86,UPI,Loyal,SP-015
ORD-00849,2025-01-01,CUST-01045,North,Lucknow,Store E,Online,Clothing,Dress,5,4327.65,10,2163.82,19474.42,15612.93,3861.49,Debit Card,New,SP-028
ORD-05185,2025-01-01,CUST-01713,North,Jaipur,Store B,Online,Home Appliances,Microwave,4,11944.62,25,11944.62,35833.86,29007.81,6826.05,Debit Card,Loyal,SP-018
ORD-07654,2025-01-01,CUST-00987,South,Bengaluru,Store F,Store,Clothing,Jeans,1,1754.04,5,87.7,1666.34,1409.55,256.79,Cash,New,SP-017
ORD-03072,2025-01-01,CUST-00786,South,Bengaluru,Store A,Online,Grocery,Cooking Oil,1,790.97,10,79.1,711.87,587.71,124.16,Credit Card,New,SP-002
ORD-01988,2025-01-01,CUST-00978,North,Lucknow,Store E,Online,Furniture,Bookshelf,4,5142.11,0,0.0,20568.44,16198.36,4370.08,Cash,Loyal,SP-009
ORD-08504,2025-01-01,CUST-00454,West,Surat,Store C,Store,Grocery,Tea,2,130.65,15,39.2,222.1,178.92,43.18,Net Banking,New,SP-004
ORD-01165,2025-01-01,CUST-02048,East,Kolkata,Store A,Online,Clothing,Jeans,1,2644.0,0,0.0,2644.0,2015.77,628.23,UPI,Returning,SP-024
ORD-03581,2025-01-01,CUST-01430,South,Hyderabad,Store B,Online,Furniture,Sofa,2,58823.09,5,5882.31,111763.87,91518.41,20245.46,UPI,Returning,SP-001
ORD-06553,2025-01-01,CUST-00709,East,Patna,Store F,Store,Clothing,Dress,1,2190.87,20,438.17,1752.7,1416.78,335.91,Net Banking,Returning,SP-002
ORD-06667,2025-01-01,CUST-01546,North,Lucknow,Store F,Store,Furniture,Sofa,1,30914.63,15,4637.19,26277.44,20899.81,5377.63,Debit Card,Loyal,SP-012
ORD-03276,2025-01-01,CUST-02035,Central,Nagpur,Store B,Store,Grocery,Tea,1,268.38,10,26.84,241.54,178.82,62.72,UPI,New,SP-015
ORD-06184,2025-01-01,CUST-01128,Central,Bhopal,Store C,Store,Home Appliances,Air Conditioner,4,40389.99,20,32311.99,129247.97,107189.56,22058.41,Cash,New,SP-013
ORD-06356,2025-01-01,CUST-00771,West,Surat,Store F,Store,Electronics,Smartwatch,1,3662.57,15,549.39,3113.18,2581.41,531.78,UPI,Returning,SP-020
ORD-00447,2025-01-01,CUST-00001,North,Lucknow,Store B,Online,Grocery,Beverages,1,72.91,0,0.0,72.91,58.26,14.65,Net Banking,Returning,SP-005
ORD-06605,2025-01-01,CUST-01898,West,Mumbai,Store F,Store,Furniture,Bookshelf,1,4341.62,5,217.08,4124.54,2920.59,1203.95,UPI,Loyal,SP-004
ORD-08020,2025-01-02,CUST-00126,East,Patna,Store B,Store,Electronics,Laptop,1,64301.29,15,9645.19,54656.1,45974.57,8681.53,Debit Card,Loyal,SP-021
ORD-08132,2025-01-02,CUST-01932,North,Chandigarh,Store E,Online,Electronics,Laptop,1,89108.76,10,8910.88,80197.88,53009.99,27187.89,Net Banking,New,SP-012
ORD-00207,2025-01-02,CUST-01254,Central,Indore,Store C,Online,Clothing,Dress,1,3510.34,0,0.0,3510.34,2330.38,1179.96,Debit Card,New,SP-018
ORD-08075,2025-01-02,CUST-01160,South,Kochi,Store C,Store,Home Appliances,Microwave,1,17177.5,25,4294.38,12883.12,8125.96,4757.17,Debit Card,Loyal,SP-009
ORD-07134,2025-01-02,CUST-01781,North,Chandigarh,Store A,Store,Furniture,Study Table,2,12888.59,10,2577.72,23199.46,17123.74,6075.72,Net Banking,Returning,SP-022
ORD-04759,2025-01-02,CUST-01727,West,Mumbai,Store F,Online,Electronics,Tablet,1,34399.41,20,6879.88,27519.53,22339.48,5180.04,Cash,Returning,SP-016
ORD-03331,2025-01-02,CUST-02490,South,Hyderabad,Store E,Store,Electronics,Smartphone,1,40194.46,0,0.0,40194.46,30315.56,9878.9,Net Banking,Loyal,SP-003
ORD-00064,2025-01-02,CUST-01064,Central,Bhopal,Store F,Store,Grocery,Beverages,1,51.1,20,10.22,40.88,25.48,15.4,Net Banking,New,SP-001
ORD-01949,2025-01-02,CUST-02321,East,Kolkata,Store B,Store,Grocery,Rice,1,1130.78,5,56.54,1074.24,903.42,170.82,UPI,New,SP-024
ORD-03153,2025-01-02,CUST-01588,West,Surat,Store B,Store,Grocery,Cooking Oil,1,149.16,10,14.92,134.24,95.57,38.68,Credit Card,Returning,SP-014
ORD-07835,2025-01-02,CUST-00351,Central,Nagpur,Store A,Store,Electronics,Laptop,1,73577.22,5,3678.86,69898.36,47229.99,22668.37,Net Banking,Returning,SP-015
ORD-09433,2025-01-02,CUST-01199,East,Patna,Store C,Store,Clothing,Shoes,1,2773.55,5,138.68,2634.87,1829.78,805.09,Debit Card,New,SP-012
ORD-05155,2025-01-02,CUST-00676,South,Chennai,Store D,Store,Electronics,Smartwatch,1,4730.74,10,473.07,4257.67,3180.51,1077.16,Net Banking,Returning,SP-004
ORD-00264,2025-01-02,CUST-02101,South,Hyderabad,Store F,Store,Electronics,Smartwatch,3,10528.28,10,3158.48,28426.36,18935.71,9490.64,Cash,Returning,SP-028
ORD-09294,2025-01-02,CUST-01704,South,Bengaluru,Store E,Store,Electronics,Headphones,1,3399.94,10,339.99,3059.95,2220.34,839.6,UPI,Returning,SP-007
ORD-08140,2025-01-02,CUST-02334,North,Lucknow,Store E,Online,Clothing,Shoes,1,1331.78,5,66.59,1265.19,789.92,475.27,Debit Card,Returning,SP-025
ORD-01290,2025-01-02,CUST-02218,Central,Indore,Store B,Store,Clothing,T-Shirt,1,1016.06,0,0.0,1016.06,885.79,130.27,Debit Card,Returning,SP-030
ORD-01824,2025-01-02,CUST-00251,West,Ahmedabad,Store E,Store,Clothing,Jacket,2,1861.88,10,372.38,3351.38,2092.78,1258.6,Cash,Loyal,SP-026
ORD-05357,2025-01-02,CUST-01331,North,Lucknow,Store D,Store,Grocery,Rice,3,1416.47,10,424.94,3824.47,2553.11,1271.36,Debit Card,New,SP-030
ORD-07014,2025-01-02,CUST-01532,East,Ranchi,Store A,Store,Grocery,Rice,2,529.7,15,158.91,900.49,605.32,295.17,Cash,Loyal,SP-017
ORD-04250,2025-01-02,CUST-00953,North,Chandigarh,Store E,Store,Home Appliances,Refrigerator,1,48916.48,5,2445.82,46470.66,30568.31,15902.35,Net Banking,New,SP-022
ORD-04324,2025-01-02,CUST-02327,West,Surat,Store F,Store,Home Appliances,Air Conditioner,1,54966.77,25,13741.69,41225.08,26302.04,14923.04,Debit Card,New,SP-014
ORD-06794,2025-01-02,CUST-02180,Central,Raipur,Store E,Online,Electronics,Headphones,2,3486.81,0,0.0,6973.62,5882.56,1091.06,Credit Card,New,SP-008
ORD-02174,2025-01-02,CUST-02146,Central,Bhopal,Store A,Store,Electronics,Laptop,5,45799.97,10,22899.98,206099.86,173777.06,32322.81,Debit Card,Returning,SP-017
ORD-02911,2025-01-02,CUST-00486,Central,Indore,Store E,Store,Grocery,Cooking Oil,4,678.8,10,271.52,2443.68,1682.86,760.82,Credit Card,New,SP-015
ORD-08485,2025-01-02,CUST-00175,North,Lucknow,Store B,Store,Electronics,Smartphone,1,41620.35,10,4162.04,37458.32,32100.35,5357.96,Cash,Returning,SP-013
ORD-06570,2025-01-03,CUST-00548,South,Kochi,Store E,Store,Home Appliances,Refrigerator,1,48634.78,0,0.0,48634.78,38982.59,9652.19,Cash,New,SP-007
ORD-05525,2025-01-03,CUST-00909,South,Hyderabad,Store B,Store,Home Appliances,Microwave,1,9778.63,5,488.93,9289.7,6751.81,2537.89,UPI,Returning,SP-015
ORD-01865,2025-01-03,CUST-00723,West,Mumbai,Store D,Online,Home Appliances,Refrigerator,5,56402.16,15,42301.62,239709.18,201898.75,37810.43,UPI,Returning,SP-017
ORD-07688,2025-01-03,CUST-01054,West,Ahmedabad,Store E,Online,Electronics,Tablet,1,15256.55,0,0.0,15256.55,9478.7,5777.85,Cash,Loyal,SP-017
ORD-01519,2025-01-03,CUST-02130,South,Kochi,Store E,Store,Clothing,Shoes,1,4872.09,25,1218.02,3654.07,2340.74,1313.33,Debit Card,Returning,SP-026
ORD-02678,2025-01-03,CUST-01588,Central,Bhopal,Store F,Online,Furniture,Study Table,1,5986.41,0,0.0,5986.41,5135.41,851.0,Cash,New,SP-002
ORD-09796,2025-01-03,CUST-01724,North,Lucknow,Store A,Store,Electronics,Smartwatch,1,6078.71,10,607.87,5470.84,4515.08,955.76,Debit Card,New,SP-028
ORD-00896,2025-01-03,CUST-01178,South,Kochi,Store F,Online,Electronics,Headphones,1,7360.93,5,368.05,6992.88,4450.16,2542.72,Net Banking,Returning,SP-008
ORD-03770,2025-01-03,CUST-01394,West,Surat,Store D,Store,Furniture,Bookshelf,1,7638.59,5,381.93,7256.66,4993.66,2263.0,Cash,Loyal,SP-028
ORD-06846,2025-01-03,CUST-00496,East,Ranchi,Store D,Store,Clothing,Jacket,1,4467.12,5,223.36,4243.76,2922.73,1321.04,Credit Card,New,SP-029
ORD-02658,2025-01-03,CUST-02129,North,Delhi,Store F,Online,Electronics,Tablet,2,34854.84,10,6970.97,62738.71,49604.85,13133.86,UPI,Returning,SP-010
ORD-02322,2025-01-03,CUST-00805,West,Surat,Store C,Store,Electronics,Smartwatch,1,9464.89,10,946.49,8518.4,6008.93,2509.48,UPI,New,SP-023
ORD-02125,2025-01-03,CUST-00012,West,Pune,Store C,Store,Home Appliances,Refrigerator,1,42016.61,5,2100.83,39915.78,29852.35,10063.43,Credit Card,Loyal,SP-007
ORD-04490,2025-01-03,CUST-00793,South,Bengaluru,Store A,Store,Home Appliances,Air Conditioner,2,31443.44,0,0.0,62886.88,41789.85,21097.03,UPI,Returning,SP-023
ORD-02732,2025-01-03,CUST-00296,South,Chennai,Store C,Online,Clothing,Shoes,2,2279.96,15,683.99,3875.93,2705.29,1170.64,UPI,Loyal,SP-015
ORD-01578,2025-01-03,CUST-00994,West,Surat,Store E,Online,Grocery,Beverages,2,357.13,5,35.71,678.55,468.68,209.86,Net Banking,New,SP-012
ORD-09869,2025-01-03,CUST-00052,East,Ranchi,Store C,Online,Grocery,Rice,2,1282.7,0,0.0,2565.4,2257.09,308.31,Cash,New,SP-008
ORD-07870,2025-01-03,CUST-01960,North,Jaipur,Store E,Online,Grocery,Cooking Oil,1,290.54,0,0.0,290.54,253.55,36.99,Net Banking,Loyal,SP-026
ORD-08223,2025-01-03,CUST-00906,West,Pune,Store F,Online,Electronics,Smartwatch,4,3965.29,10,1586.12,14275.04,9166.73,5108.31,UPI,Loyal,SP-003
ORD-03931,2025-01-03,CUST-01133,East,Bhubaneswar,Store C,Store,Electronics,Smartphone,2,32953.55,15,9886.06,56021.04,45639.96,10381.07,Net Banking,New,SP-003
ORD-08257,2025-01-03,CUST-01839,North,Lucknow,Store E,Store,Furniture,Study Table,1,16358.41,10,1635.84,14722.57,11963.07,2759.5,Credit Card,Returning,SP-007
ORD-04846,2025-01-03,CUST-00691,East,Kolkata,Store D,Online,Electronics,Smartwatch,1,10659.89,5,532.99,10126.9,6390.82,3736.08,Credit Card,Returning,SP-011
ORD-04206,2025-01-03,CUST-00362,North,Chandigarh,Store B,Online,Electronics,Smartwatch,1,6774.26,5,338.71,6435.55,5291.69,1143.86,Net Banking,Loyal,SP-005
ORD-04688,2025-01-03,CUST-02266,North,Chandigarh,Store B,Store,Electronics,Smartwatch,3,11006.83,5,1651.02,31369.47,20306.41,11063.06,Debit Card,Returning,SP-025
ORD-04132,2025-01-03,CUST-01032,South,Hyderabad,Store C,Online,Home Appliances,Refrigerator,1,62904.18,10,6290.42,56613.76,35390.91,21222.85,Net Banking,Loyal,SP-022
ORD-00326,2025-01-04,CUST-00246,South,Bengaluru,Store D,Store,Grocery,Rice,1,1612.13,0,0.0,1612.13,1349.29,262.84,UPI,Returning,SP-018
ORD-04105,2025-01-04,CUST-00770,Central,Raipur,Store A,Store,Furniture,Office Chair,1,4761.08,15,714.16,4046.92,2802.4,1244.52,UPI,Returning,SP-024
ORD-07715,2025-01-04,CUST-00097,Central,Bhopal,Store F,Store,Electronics,Tablet,1,16385.35,0,0.0,16385.35,11290.33,5095.02,Debit Card,Returning,SP-025
ORD-07701,2025-01-04,CUST-01303,North,Chandigarh,Store F,Store,Furniture,Bed,3,51729.57,10,15518.87,139669.84,109918.49,29751.35,Cash,New,SP-011
ORD-03867,2025-01-04,CUST-01258,East,Kolkata,Store A,Online,Grocery,Beverages,1,337.73,10,33.77,303.96,206.64,97.32,Debit Card,Returning,SP-005
ORD-08554,2025-01-04,CUST-01707,West,Mumbai,Store D,Store,Grocery,Rice,1,606.94,0,0.0,606.94,409.16,197.78,Debit Card,New,SP-018
ORD-05014,2025-01-04,CUST-01344,Central,Bhopal,Store B,Store,Home Appliances,Refrigerator,2,29986.77,25,14993.38,44980.16,28132.93,16847.22,Cash,New,SP-030
ORD-07639,2025-01-04,CUST-00333,West,Ahmedabad,Store F,Online,Home Appliances,Washing Machine,1,53995.49,10,5399.55,48595.94,32642.63,15953.31,Cash,Loyal,SP-004
ORD-03078,2025-01-04,CUST-01489,East,Bhubaneswar,Store F,Store,Home Appliances,Air Conditioner,2,56243.12,0,0.0,112486.24,92780.44,19705.8,UPI,Returning,SP-026
ORD-00497,2025-01-04,CUST-01856,West,Surat,Store D,Online,Electronics,Tablet,2,32273.92,15,9682.18,54865.66,41910.06,12955.61,Debit Card,Returning,SP-012
